id,store,sales,location,min_weekly_visits,max_weekly_visits,mandatory_monday_visit,min_visit_duration,max_visit_duration,min_service_duration,max_service_duration,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
s_id_58,"Hiper, Contry","$2,579,065","25.626203,-100.274981",2,2,0,180,180,360,360,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_89,"Julio Cepeda, Plaza La Fe Mty","$1,195,284","25.723333,-100.2154039",0,2,0,120,180,0,360,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_90,"Julio Cepeda, Plaza Via Puerta De Hierro","$1,504,830","25.7449114,-100.421985",0,2,0,120,180,0,360,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_91,"Julio Cepeda, Pueblo Serena","$1,237,611","25.5758573,-100.2440476",0,2,0,120,180,0,360,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_92,"Julio Cepeda, San Agustin Mty","$2,488,532","25.6502156,-100.3384687",0,2,1,120,180,0,360,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_93,"Julio Cepeda, San Nicolas Mty","$1,124,625","25.7552475,-100.2967569",0,2,0,120,180,0,360,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_94,"Julio Cepeda, Sendero Apodaca Mty","$1,137,034","25.782916,-100.235674",0,2,0,120,180,0,360,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_65,"Hiper, San Nicolas","$5,358,033","25.7460928,-100.3018666",2,2,0,360,360,540,540,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_69,"Hiper, Sendero Apodaca","$2,409,694","25.7822204,-100.2354501",2,2,1,180,180,360,360,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_72,"Hiper, Sendero Lincoln","$2,032,346","25.7629337,-100.4100647",2,2,0,180,180,360,360,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_75,"Juguetron, Cumbres Monterrey","$2,838,897","25.7323808,-100.3963645",2,2,0,180,180,360,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_76,"Juguetron, Fashion Drive","$3,966,491","25.6510855,-100.3348789",2,2,0,180,180,360,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_96,"Liverpool, Cumbres","$2,793,263","25.7308101,-100.3947937",2,2,0,180,180,360,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_97,"Liverpool, Monterrey","$5,492,266","25.6821267,-100.3537828",2,2,0,180,180,360,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_102,"Sears, Monterrey Anáhuac","$2,010,996","25.7417484,-100.3136973",0,2,0,120,180,0,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_99,"Liverpool, Monterrey La Fe","$4,421,093","25.7201524,-100.2182744",2,2,0,180,180,360,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_101,"Palacio de Hierro, Tienda Monterrey","$5,178,573","25.6513519,-100.3589449",2,2,0,180,180,360,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_105,"Sears, San Agustín","$1,352,539","25.6485833,-100.3371279",0,2,0,120,180,0,360,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00
s_id_106,"Supercenter, Apodaca Norte","$2,549,863","25.7915592,-100.2480239",2,2,0,180,180,360,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_107,"Supercenter, Cerro De La Silla","$3,737,417","25.6638862,-100.2419628",2,2,0,180,180,360,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_111,"Supercenter, Eloy Cavazos","$2,687,270","25.6524264,-100.2095845",2,2,0,180,180,360,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_112,"Supercenter, Escobedo Norte","$3,201,689","25.793576,-100.327328",2,2,1,360,360,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_110,"Supercenter, Cuspide Santa Rosa","$1,881,706","25.8069299,-100.22319",0,2,0,120,180,0,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_118,"Supercenter, Lincoln","$2,739,474","25.73059,-100.3696476",2,2,0,180,180,360,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_122,"Supercenter, Paseo Real","$3,185,498","25.7603111,-100.4054961",2,2,0,180,180,360,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_123,"Supercenter, Plaza Centrika","$3,054,461","25.7013601,-100.3081995",2,2,0,360,360,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_124,"Supercenter, Reforma Huinala","$3,075,880","25.723627,-100.1643553",2,2,1,180,180,360,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
